id;name
1;-
2;Автономная некоммерческая организация
3;Автономное учреждение
4;Адвокат
5;Адвокатские бюро
6;Адвокатские бюро
7;Адвокатские палаты
8;Адвокатские палаты
9;Акционерное общество
10;Ассоциация (союз)
11;Благотворительное учреждение
12;Благотворительный фонд
13;Бюджетное учреждение
14;Гаражные и гаражно-строительные кооперативы
15;Гаражные и гаражно-строительные кооперативы
16;Глава крестьянского (фермерского) хозяйства
17;Глава крестьянского (фермерского) хозяйства
18;Государственная академия наук
19;Государственная компания
20;Государственная корпорация
21;Государственные автономные учреждения субъектов Российской Федерации
22;Государственные автономные учреждения субъектов Российской Федерации
23;Государственные бюджетные учреждения субъектов Российской Федерации
24;Государственные бюджетные учреждения субъектов Российской Федерации
25;Государственные казенные учреждения субъектов Российской Федерации
26;Государственные казенные учреждения субъектов Российской Федерации
27;Государственные унитарные предприятия субъектов Российской Федерации
28;Государственные унитарные предприятия субъектов Российской Федерации
29;Жилищные или жилищно-строительные кооперативы
30;Жилищные или жилищно-строительные кооперативы
31;Жилищные накопительные кооперативы
32;Жилищные накопительные кооперативы
33;Индивидуальный предприниматель
34;Казачье общество
35;Казенное предприятие
36;Казенное учреждение
37;Коллегии адвокатов
38;Коллегии адвокатов
39;Кооперативные хозяйства (коопхозы)
40;Кооперативные хозяйства (коопхозы)
41;Кредитные кооперативы второго уровня
42;Кредитные кооперативы второго уровня
43;Кредитные потребительские кооперативы
44;Кредитные потребительские кооперативы
45;Кредитные потребительские кооперативы граждан
46;Кредитные потребительские кооперативы граждан
47;Крестьянские (фермерские) хозяйства
48;Крестьянские (фермерские) хозяйства
49;Межправительственная международная организация
50;Муниципальные автономные учреждения
51;Муниципальные автономные учреждения
52;Муниципальные бюджетные учреждения
53;Муниципальные бюджетные учреждения
54;Муниципальные казенные предприятия
55;Муниципальные казенные предприятия
56;Муниципальные казенные учреждения
57;Муниципальные казенные учреждения
58;Муниципальные унитарные предприятия
59;Муниципальные унитарные предприятия
60;Негосударственный пенсионный фонд
61;Некоммерческие партнерства
62;Некоммерческие партнерства
63;Неправительственная международная организация
64;Непубличное акционерное общество
65;Нотариальные палаты
66;Нотариальные палаты
67;Нотариус
68;Обособленные подразделения юридических лиц
69;Обособленные подразделения юридических лиц
70;Общества взаимного страхования
71;Общества взаимного страхования
72;Общественная организация
73;Общественное учреждение
74;Общественные движения
75;Общественные движения
76;Общественный фонд
77;Общество с дополнительной ответственностью
